"id","title","author","isbn","summary","tags"
"1","PHP & MySQL: Novice to Ninja","Tom Butler","9780994551011","A beginner-friendly guide to learning PHP and MySQL with hands-on examples.","PHP, MySQL, Web Development"
"2","The Clean Coder: A Code of Conduct for Professional Programmers","Robert C. Martin","9780137081073","A guide to the principles and practices of professional software development.","Clean Code, Professional Development"
"3","Design Patterns: Elements of Reusable Object-Oriented Software","Erich Gamma","9780201633610","Classic reference on design patterns in object-oriented software development.","Design Patterns, OOP, Software Engineering"
"4","Clean Code: A Handbook of Agile Software Craftsmanship","Robert C. Martin","9780132350884","Practical advice for writing clean, maintainable code.","Clean Code, Software Development"
"5","Refactoring: Improving the Design of Existing Code","Martin Fowler","9780201485677","Refactoring techniques for improving code structure and quality.","Refactoring, Software Engineering"
"6","PHP Objects, Patterns, and Practice","Mika Schwartz","9781430260318","Guidelines on object-oriented programming and design patterns in PHP.","PHP, OOP, Design Patterns"
"7","Head First Design Patterns","Eric Freeman","9780596007126","Easy-to-understand introduction to design patterns using real-world examples.","Design Patterns, OOP"
"8","Domain-Driven Design: Tackling Complexity in the Heart of Software","Eric Evans","9780321125217","Principles of designing complex software systems with domain-driven design.","DDD, Software Architecture"
"9","The Pragmatic Programmer: Your Journey to Mastery","Andrew Hunt","9780201616224","Advice on becoming a more effective and adaptable programmer.","Programming, Software Craftsmanship"
"10","Object-Oriented Analysis and Design with Applications","Grady Booch","9780201895512","Comprehensive guide to object-oriented analysis and design.","OOP, Software Engineering"
"11","Effective JavaScript: 68 Specific Ways to Harness the Power of JavaScript","David Herman","9780321812186","Best practices for JavaScript programming with practical examples.","JavaScript, Best Practices"
"12","PHP & MySQL: Server-side Web Development","Jon Duckett","9780134301846","Complete guide to server-side development with PHP and MySQL.","PHP, MySQL, Web Development"
"13","JavaScript: The Good Parts","Douglas Crockford","9780596517748","Focuses on the most powerful and elegant parts of JavaScript.","JavaScript, Programming"
"14","Pro PHP and jQuery","Adam Freeman","9781484205089","Combines PHP and jQuery for creating interactive and dynamic websites.","PHP, jQuery, Web Development"
"15","Test-Driven Development: By Example","Kent Beck","9780321146533","Introduction to test-driven development (TDD) with practical examples.","TDD, Programming, Software Engineering"
"16","Learning PHP, MySQL & JavaScript: With jQuery, CSS & HTML5","Robin Nixon","9781491918661","Comprehensive resource for learning web development with PHP, MySQL, and JavaScript.","PHP, MySQL, JavaScript, Web Development"
"17","Modern PHP: New Features and Good Practices","Josh Lockhart","9781491905012","Explores the latest features in PHP and how to use them effectively.","PHP, Best Practices"
"18","Laravel: Up and Running","Matt Stauffer","9781492041214","Comprehensive guide to using the Laravel PHP framework.","Laravel, PHP, Framework"
"19","Symfony 5: The Fast Track","Fabien Potencier","9781098112852","Learn how to use Symfony 5 for building modern web applications.","Symfony, PHP, Framework"
"20","Code Complete: A Practical Handbook of Software Construction","Steve McConnell","9780735619678","In-depth exploration of software construction techniques and best practices.","Software Engineering, Programming"
